period,Net Foreign Assets,M1 Money Supply,M3 Money Supply,Claims on the Private Sector,Consumer Price Index,Retail Sales - Total,Net Gold & Forex Reserve,Motor Trade Sales at Current Prices s.a.,PMI Manufacturing,Electricity Consumption (YoY),Sales of Accessories - Income_x,Convenient Store Sales - Income,Fuel Sales - Income,Sales of Accessories - Income_y,New Vehicle Sales,Used Vehicle Sales,Workshop Income,Real GDP at Market Prices
2011-03-31,17073.333333333332,869302.0,2084515.0,3397.3333333333335,72.46666666666667,49179.333333333336,44.65,39145.333333333336,53.300000000000004,1.4000000000000001,5740.666666666667,1553.0,11463.0,5740.666666666667,10542.333333333334,6649.333333333333,2762.3333333333335,687269.4
2011-06-30,5196.0,884168.3333333334,2096837.6666666667,6807.0,73.8,51321.0,46.35333333333333,39409.666666666664,54.43333333333334,1.8666666666666665,5607.0,1562.6666666666667,12804.333333333334,5607.0,9760.0,6062.0,2737.0,705429.2
2011-09-30,28305.666666666668,898898.0,2161736.0,20249.666666666668,74.93333333333334,52950.0,48.306666666666665,41071.333333333336,49.26666666666667,0.8666666666666666,6200.666666666667,1585.3333333333333,13269.0,6200.666666666667,10941.0,6839.333333333333,3009.0,715412.7
2011-12-31,6133.666666666667,936179.0,2239053.3333333335,12480.333333333334,75.73333333333333,64645.333333333336,48.57333333333333,41967.666666666664,51.1,0.20000000000000004,6298.666666666667,1766.3333333333333,13748.0,6298.666666666667,10934.333333333334,6598.333333333333,3025.6666666666665,730145.8
2012-03-31,-14618.666666666666,952578.3333333334,2218132.3333333335,24514.666666666668,76.86666666666666,54233.333333333336,49.20666666666667,43088.666666666664,53.833333333333336,-0.7666666666666667,6340.0,1724.6666666666667,13463.666666666666,6340.0,11738.333333333334,6604.333333333333,3009.3333333333335,702157.6
2012-06-30,20187.333333333332,947940.3333333334,2233808.6666666665,4024.6666666666665,78.0,56265.666666666664,48.14333333333334,44835.666666666664,51.36666666666667,-4.566666666666666,6342.333333333333,1696.3333333333333,14275.666666666666,6342.333333333333,11959.333333333334,6568.333333333333,3094.0,724791.7
2012-09-30,6022.0,995453.0,2331728.0,24854.0,78.76666666666667,57590.333333333336,48.333333333333336,45064.666666666664,50.06666666666666,-1.9666666666666668,6533.333333333333,1753.6666666666667,14432.0,6533.333333333333,12219.333333333334,7363.0,3168.3333333333335,730225.7
2012-12-31,-11655.333333333334,1023420.3333333334,2366851.6666666665,20876.333333333332,80.0,68972.33333333333,48.32,46664.333333333336,50.06666666666666,-2.4,6564.333333333333,1923.6666666666667,15793.666666666666,6564.333333333333,12248.333333333334,7500.0,3286.0,743902.8
2013-03-31,17178.666666666668,1032589.6666666666,2383183.6666666665,10137.666666666666,81.26666666666667,58172.0,47.129999999999995,47700.666666666664,50.666666666666664,-4.666666666666667,6651.0,1785.6666666666667,14785.666666666666,6651.0,13231.0,7087.333333333333,3283.3333333333335,717484.4
2013-06-30,15027.333333333334,1075813.0,2448960.6666666665,12549.666666666666,82.43333333333334,60471.333333333336,45.28333333333333,48713.333333333336,50.833333333333336,0.5333333333333333,6929.0,1791.3333333333333,15368.333333333334,6929.0,13223.666666666666,7408.0,3407.0,743184.7
