"","","","Indicator Code","Indicator Name","Indicator Type","Indicator Subtype","Region","Country","City","Indicator Currency","Indicator Frequency","Source","Source link","Secondary link","Unit","Value Type","Relevence"
"","","","SAFZAXX02Ma169","Manufacturing Sales - Motor Vehicles, Parts and Accessories and Other Transport Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma168","Manufacturing Sales - Radio, Television and Communication Apparatus and Professional Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma167","Manufacturing Sales - Electrical Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma166","Manufacturing Sales - Basic Iron and Steel, Non-Ferrous Metal Products, Metal Products and Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma165","Manufacturing Sales - Glass and Non-Metallic Mineral Products","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma164","Manufacturing Sales - Petroleum, Chemical Products, Rubber and Plastic Products","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma163","Manufacturing Sales - Wood and Wood Products, Paper, Publishing and Printing","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma162","Manufacturing Sales - Textiles, Clothing, Leather and Footwear","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma161","Manufacturing Sales - Food and Beverages","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma160","Manufacturing Production Index s.a. - Furniture and Other Manufacturing Division","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma159","Manufacturing Production Index s.a. - Motor Vehicles, Parts and Accessories and Other Transport Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma158","Manufacturing Production Index s.a. - Radio, Television and Communication Apparatus and Professional Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma157","Manufacturing Production Index s.a. - Electrical Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma156","Manufacturing Production Index s.a. - Basic Iron and Steel, Non-Ferrous Metal Products, Metal Products and Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma155","Manufacturing Production Index s.a. - Glass and Non-Metallic Mineral Products","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma154","Manufacturing Production Index s.a. - Petroleum, Chemical Products, Rubber and Plastic Products","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma153","Manufacturing Production Index s.a. - Wood and Wood Products, Paper, Publishing and Printing","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma152","Manufacturing Production Index s.a. - Textiles, Clothing, Leather and Footwear","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma151","Manufacturing Production Index s.a. - Food and Beverages","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
