PERIOD,"Annualised GDP s.a. - Agriculture, Forestry and Fishing",Annualised GDP s.a. - Construction,"Annualised GDP s.a. - Electricity, Gas and Water","Annualised GDP s.a. - Finance, Real Estate and Business Services",Annualised GDP s.a. - General Government Services,Annualised GDP s.a. - Manufacturing,Annualised GDP s.a. - Mining and Quarrying,Annualised GDP s.a. - Personal Services,"Annualised GDP s.a. - Trade, Catering and Accommodation","Annualised GDP s.a. - Transport, Storage and Communication","Assets of Long-Term Insurers: Coin, Banknotes and Deposits",Assets of Long-Term Insurers: Fixed Property,Assets of Long-Term Insurers: Fixed-Interest Securities - Government,Assets of Long-Term Insurers: Fixed-Interest Securities - Local Governments,Assets of Long-Term Insurers: Fixed-Interest Securities - Public Enterprises,Assets of Long-Term Insurers: Loans against Policies,Assets of Long-Term Insurers: Loans to Public Sector,Assets of Long-Term Insurers: Mortgage Loans,Assets of Long-Term Insurers: Ordinary Shares,Assets of Long-Term Insurers: Other Fixed-Interest Securities,Assets of Long-Term Insurers: Other Loans,"Assets of Short-Term Insurers: Coin, Banknotes & Deposits",Assets of Short-Term Insurers: Fixed Property,Assets of Short-Term Insurers: Fixed-Interest Securities - Government,Assets of Short-Term Insurers: Fixed-Interest Securities - Local Governments,Assets of Short-Term Insurers: Fixed-Interest Securities - Public Enterprises,Assets of Short-Term Insurers: Mortgage Loans,Assets of Short-Term Insurers: Ordinary Shares,Assets of Short-Term Insurers: Other Fixed-Interest Securities,Assets of Short-Term Insurers: Other Loans,BER Business Confidence Index,BER Consumer Confidence,Final Consumption Expenditure by Constant Prices - General Government,Final Consumption Expenditure by Constant Prices - Households,Final Consumption Expenditure by Current Prices - General Government,Final Consumption Expenditure by Current Prices - Households,Final Consumption Expenditure by Households at Constant Prices - Durable Goods,Final Consumption Expenditure by Households at Constant Prices - Non - Durable Goods,Final Consumption Expenditure by Households at Constant Prices - Semi - Durable Goods ,Final Consumption Expenditure by Households at Constant Prices - Services,Final Consumption Expenditure by Households at Constant Prices - Total,Final Consumption Expenditure by Households at Current Prices - Durable Goods,Final Consumption Expenditure by Households at Current Prices - Non - Durable Goods,Final Consumption Expenditure by Households at Current Prices - Semi - Durable Goods ,Final Consumption Expenditure by Households at Current Prices - Services,Final Consumption Expenditure by Households at Current Prices - Total,Gross Domestic Product (QoQ),Gross Domestic Product (YoY),Long-Term Insurers : Current Expenditure - Administrative Expenses,Long-Term Insurers : Current Expenditure - Annuities,Long-Term Insurers : Current Expenditure - Claims Paid in a Lump Sum at Retirement,Long-Term Insurers : Current Expenditure - Claims Paid in a Lump Sum on Death and Other Payments,Long-Term Insurers : Current Expenditure - Surrenders of Pension Fund and Other Life Business,Long-Term Insurers : Current Receipts from Investment Income,Long-Term Insurers : Current Receipts from Other Insurance Business,Long-Term Insurers : Current Receipts from Premiums Received (Pension and Group Life Business),Long-Term Insurers : Current Receipts from Premiums Received (Retirement Annuities),Long-Term Insurers : Dividend Payments,Long-Term Insurers : Domestic Current Income Surplus,Long-Term Insurers: Current Expenditure - Taxation,"Nominal GDP - Agriculture, Forestry and Fishing",Nominal GDP - Construction,"Nominal GDP - Electricity, Gas and Water","Nominal GDP - Finance, Real Estate and Business Services",Nominal GDP - General Government Services,Nominal GDP - Manufacturing,Nominal GDP - Mining and Quarrying,Nominal GDP - Personal Sevices,Nominal GDP - Taxes less Subsidies on Products,"Nominal GDP - Transport, Storage and Communication","Nominal GDP - Wholesale and Retail Trade, Hotels and Restaurants",Nominal GDP at Market Prices,Other Assets of Long-Term Insurers,Other Assets of Short-Term Insurers,"Real GDP - Agriculture, Forestry and Fishing",Real GDP - Construction,"Real GDP - Electricity, Gas and Water","Real GDP - Finance, Real Estate and Business Services",Real GDP - General Government Services,Real GDP - Manufacturing,Real GDP - Mining and Quarrying,Real GDP - Personal Sevices,"Real GDP - Transport, Storage and Communication","Real GDP - Wholesale and Retail Trade, Hotels and Restaurants",Real GDP Value Added at Basic Prices,Real GDP at Market Prices,Remuneration Per Worker Change - Private Sector (QoQ),Remuneration Per Worker Change - Public Sector (QoQ),Remuneration Per Worker Change - Total (QoQ),Total Assets of Short-Term Insurers
2012-12-31,90327.4398389144,146429.193597132,121767.049986528,867327.869557707,317703.444317598,556805.37244745,210428.168480467,624799.1222283,539089.238991074,335155.830980125,210888.0,62365.0,162524.0,6513.0,33069.0,2027.0,823.0,1354.0,940305.0,90184.0,160852.0,39036.0,1098.0,7620.0,2.0,4441.0,0.0,19127.0,5343.0,2157.0,46.0,-3.0,207698.0,714117.0,178534.0,622306.0,73675.0,226720.0,66657.0,347066.0,714117.0,66179.0,196967.0,59856.0,299304.0,622306.0,1.8,1.9,9737.0,8682.0,9910.0,19205.0,39555.0,20264.0,31102.0,41068.0,14717.0,1716.0,15372.0,2974.0,9322.16652022838,30687.7374712814,18224.1048218593,196117.757442498,67323.9466287807,114958.458110225,54788.5418526485,136961.020714117,89868.0,75654.1946658406,129447.204098699,842549.8,277911.0,26400.0,14585.4970014953,37370.5748026353,30957.255748962,216137.431155106,79563.3354093411,144496.077905558,52999.8302746135,150917.795985672,86301.8319973249,151912.102502343,965241.6646298708,1073431.655331444,6.5,6.7,6.7,106798.0
2013-03-31,92213.4560086194,149133.207748086,119182.445116132,880543.114355327,320735.701117888,551354.275847602,217986.138013515,629111.790512464,538560.781260145,340463.617071401,221011.0,59878.0,156230.0,6540.0,32398.0,1966.0,782.0,1242.0,987897.0,100658.0,174256.0,40649.0,1203.0,6810.0,14.0,4248.0,0.0,20815.0,5722.0,2592.0,52.0,-7.0,206802.0,665060.0,177687.0,588122.0,68605.0,201083.0,53057.0,342315.0,665060.0,61917.0,176768.0,48026.0,301410.0,588122.0,1.7,2.2,7745.0,8558.0,9770.0,24174.0,31796.0,20904.0,29327.0,45597.0,15236.0,3073.0,22610.0,3339.0,14438.0340604418,30861.2406264054,21550.9295517991,199892.006606221,67283.3927877768,112696.433441311,55241.3273507269,135738.727979246,89950.0,73384.6132142119,113506.360792388,841916.1,289302.0,25590.0,20529.093622883,37280.290487553,28389.5934908323,220135.778588832,80113.0402152771,129796.438180528,49486.5884847236,158063.932739725,84846.7598666966,127415.426168652,936056.941845702,1038973.33162164,6.8,7.5,7.1,107643.0
2013-06-30,92914.0208911159,150664.17326104,121466.174406541,882462.733203083,324832.867662145,557713.629702209,216277.633920576,634903.991365692,543981.696363403,341999.425543606,208555.0,53235.0,174854.0,6074.0,31005.0,2046.0,459.0,1315.0,987458.0,104036.0,163519.0,40736.0,1129.0,7107.0,14.0,4726.0,0.0,21049.0,6110.0,2571.0,48.0,1.0,202578.0,674875.0,178382.0,605504.0,69487.0,201994.0,58405.0,344990.0,674875.0,63271.0,179648.0,53301.0,309284.0,605504.0,4.3,2.5,9777.0,9056.0,10999.0,22781.0,44281.0,25571.0,31694.0,50965.0,17053.0,3102.0,22088.0,3199.0,33124.3074357448,36187.6931386235,28449.1889630484,204193.824547203,70993.4807898147,115377.56541549,57044.0310860242,140704.645268804,85671.0,78045.8335536245,118596.085219441,877803.4,308591.0,27986.0,33161.1244100462,37356.4415629142,30221.459377006,220615.683300771,81178.3123604688,138747.681554695,54266.7722013755,160472.31677852,82779.1852120178,129115.427082024,967914.403839838,1073796.91437037,7.8,11.3,8.8,111427.0
2013-09-30,90725.405228982,151037.657129635,122183.05896927,886536.166180694,328363.863486395,560439.477878024,221871.82047556,637994.489589759,544913.28042017,344589.680832024,195821.0,53149.0,178973.0,6032.0,28708.0,1966.0,249.0,1415.0,1056507.0,106107.0,178331.0,39560.0,1232.0,8143.0,14.0,4820.0,0.0,22966.0,6058.0,1940.0,42.0,-8.0,208364.0,676078.0,186940.0,614168.0,67246.0,205468.0,56935.0,346429.0,676078.0,62075.0,186679.0,52324.0,313091.0,614168.0,1.8,2.1,8202.0,8819.0,11629.0,22282.0,41979.0,25175.0,33152.0,43471.0,17885.0,3623.0,21364.0,1784.0,17805.5702526398,35540.8793692076,25361.5969080534,202060.340505689,72502.1193613411,123092.094453772,64145.465462847,146340.642934551,90543.0,81635.0506506681,121843.752345685,900821.7,327847.0,30479.0,23719.2326955721,37286.2358954897,31423.744860193,221634.041545173,82071.5437529137,143017.958017219,58046.2294533405,160058.933858579,87459.0352756737,132302.679410884,977019.634765037,1083914.13566659,7.3,3.3,6.3,115212.0
2013-12-31,93641.2930523125,150495.379531116,121112.049478382,896000.022420699,330546.726547147,562575.701252504,227392.35852789,639633.089360212,547054.453706136,344311.894863526,173756.0,57378.0,177182.0,4078.0,31508.0,2141.0,273.0,1422.0,1124386.0,125921.0,167408.0,39528.0,1551.0,7581.0,38.0,4609.0,0.0,22530.0,5567.0,2738.0,43.0,-7.0,213677.0,720036.0,195178.0,662959.0,73523.0,227185.0,69602.0,349726.0,720036.0,68903.0,208153.0,64637.0,321265.0,662959.0,5.3,3.1,10662.0,9746.0,12715.0,27637.0,42277.0,25170.0,38813.0,44609.0,17985.0,20955.0,-1885.0,4469.0,9174.76028485716,34948.6396188829,20208.0046008829,206279.075273116,75296.8394645538,127258.730149812,61852.2785955198,146423.04108739,100105.0,84772.9549421547,138509.6502624,919435.8,326559.0,27727.0,14964.093066756,38409.6364715123,30951.1342645498,224000.005605175,82756.8933747343,146458.693417643,59082.3975949455,156815.656830208,87756.1742232513,154794.020275904,995988.705124679,1105606.79448455,7.5,4.8,6.8,113300.0
2014-03-31,91974.4127306267,152323.070486391,119954.400125002,903094.423963647,333819.496926282,553625.250215687,215205.545105741,642545.227722919,547888.388773127,348096.504381946,166494.0,56252.0,186363.0,4328.0,32141.0,2034.0,285.0,1384.0,1162848.0,178353.0,123097.0,39701.0,1493.0,7513.0,35.0,4334.0,0.0,24356.0,6116.0,2670.0,41.0,-6.0,211048.0,668414.0,193158.0,624948.0,67543.0,200569.0,56357.0,343944.0,668414.0,63999.0,187922.0,53186.0,319840.0,624948.0,-1.6,2.1,8998.0,9881.0,11292.0,25282.0,41671.0,26344.0,31603.0,41918.0,18240.0,4469.0,12875.0,3636.0,16390.8382418394,35359.3842005465,23965.4892688779,214674.609624424,76280.6000593444,123842.422929435,56710.9515411949,144979.885597777,97282.0,77294.1654247535,124501.403396121,916398.1,332873.0,30521.0,21051.395480245,38115.9886793736,28544.4092943745,225773.605990912,83381.9669440263,131895.014062945,50215.6433194562,161371.832163105,84903.9244374425,129784.382308457,955038.162680337,1058056.71859112,8.9,5.4,8.1,116739.0
2014-06-30,104335.230600432,152457.220549204,119113.248105412,902611.58867831,335137.882578799,555127.665121467,212415.085804422,643689.591453253,548630.068537112,350445.689551514,172048.0,55818.0,187542.0,5732.0,33309.0,2061.0,1367.0,1414.0,1217486.0,181437.0,128534.0,41504.0,1555.0,7791.0,38.0,5274.0,0.0,25351.0,6250.0,2874.0,41.0,4.0,206102.0,675644.0,193499.0,643364.0,66065.0,202209.0,60205.0,347166.0,675644.0,63722.0,193698.0,57487.0,328457.0,643364.0,1.0,1.7,9091.0,9793.0,12230.0,24505.0,44299.0,23150.0,35943.0,44557.0,18655.0,2198.0,17165.0,3024.0,37104.5000503075,38811.1345248108,31463.7562778367,208496.527649947,78255.6895503522,124959.051707446,56342.0671899468,151296.258428323,92147.0,83410.8242340668,128329.886776655,939966.4,349778.0,31613.0,37253.4015992175,37794.5221134427,29690.1844820137,225652.897169577,83784.3378611378,135938.232307995,53375.2767232792,162706.481713885,87102.1267043315,130033.749337501,983331.210012381,1088318.06631587,5.3,-1.0,3.9,122250.0
2014-09-30,110450.38601483,152195.146864396,119423.770031567,907057.211727493,336685.286785835,548190.068510894,217705.827214662,646837.642046263,551319.046825436,352844.918502877,179329.0,56199.0,195453.0,4335.0,32505.0,2097.0,1951.0,1399.0,1214066.0,184217.0,128171.0,43307.0,1629.0,8674.0,93.0,590.0,0.0,24708.0,10854.0,3133.0,46.0,-1.0,212980.0,682414.0,203371.0,657725.0,67566.0,207405.0,58948.0,348493.0,682414.0,65486.0,202046.0,57011.0,333182.0,657725.0,2.6,1.9,9580.0,10231.0,12500.0,25329.0,43346.0,27057.0,38710.0,40114.0,18958.0,3344.0,17458.0,3053.0,23425.3858817518,36033.2167142346,27165.856700794,215284.442394861,80255.6064154255,131048.664046666,64140.1321531856,154075.338312139,98855.0,86639.6105530447,129905.139593264,965656.8,355064.0,32782.0,27907.3496302133,37589.7923315054,30659.2800832185,226764.302931873,84099.3176085471,140154.164818911,55919.4519116821,162445.532589025,89114.8116278411,133874.530956924,988528.534489742,1095635.95316984,7.1,6.4,7.1,125769.0
2014-12-31,103190.737446441,152553.750605202,119630.275120366,914642.215064594,339090.258934639,560738.116140971,224768.076281318,650874.34138869,549102.028025181,356228.905080327,165749.0,57953.0,198254.0,4629.0,29365.0,2071.0,2943.0,1171.0,1246906.0,204097.0,131394.0,43010.0,1857.0,10271.0,144.0,598.0,0.0,25047.0,10834.0,2503.0,51.0,0.0,217304.0,729279.0,208390.0,707089.0,75130.0,231708.0,72272.0,350170.0,729279.0,73348.0,225336.0,70660.0,337745.0,707089.0,4.4,1.8,9598.0,10627.0,12030.0,23425.0,70355.0,22998.0,39731.0,49679.0,21937.0,900.0,5732.0,1676.0,10955.0215938023,35231.8419098623,21573.3209321118,222745.420262437,81520.420993919,136086.62245158,62015.583501637,152496.656651173,106798.0,90939.2357519314,144784.059894771,983328.3,327984.0,29647.0,16275.5449884065,38881.9940019768,30636.5494859801,228660.553766149,84917.6088926775,146432.863807403,58013.2616471182,159462.854186766,90783.1416095511,155542.220437332,1009606.59282336,1121107.36872378,8.0,6.1,7.6,125413.0
2015-03-31,105241.209191944,152828.273799509,118828.596242514,915969.855355805,339095.338628058,561965.940977037,231593.000450784,649994.140378347,554527.901896903,358685.70470901,166532.0,58122.0,208313.0,4259.0,29245.0,2071.0,3032.0,1121.0,1317900.0,206319.0,134044.0,45044.0,1835.0,10760.0,69.0,486.0,0.0,26156.0,11007.0,2812.0,49.0,-4.0,209988.0,681236.0,202501.0,664732.0,69375.0,205260.0,58126.0,348476.0,681236.0,68561.0,197971.0,57365.0,340834.0,664732.0,1.7,2.5,9025.0,10624.0,12109.0,27351.0,41081.0,29128.0,35593.0,40283.0,19397.0,3237.0,17231.0,3744.0,21902.1023490465,36523.8425575353,26633.1186183228,229944.796135231,82426.7142683424,131926.71252559,53641.4571147439,154450.737251153,107248.0,83576.6004753044,129875.524334016,976168.0,335651.0,33939.0,24933.0457488056,38252.0407924689,28286.0739210768,228992.463838951,84669.9676603151,132699.247433481,53729.0366997732,163192.758798727,89544.1199998539,131366.480422933,975665.235316387,1083840.90786911,5.3,7.9,6.0,132107.0
2015-06-30,97845.0970389996,153700.363900137,113837.438068789,920165.995080081,343108.691979125,540381.158342572,227112.328644156,650753.220470727,553396.616015183,359510.211208045,181549.0,64956.0,222298.0,5475.0,30184.0,1862.0,3396.0,920.0,1263344.0,215417.0,137996.0,49791.0,1940.0,11234.0,57.0,524.0,0.0,25550.0,10562.0,2177.0,43.0,-15.0,205341.0,689358.0,203300.0,685756.0,66947.0,207956.0,61215.0,353241.0,689358.0,66569.0,207322.0,60927.0,350938.0,685756.0,-2.3,1.1,10519.0,10437.0,13472.0,26721.0,48667.0,26607.0,38844.0,40955.0,20075.0,3086.0,11037.0,2543.0,40624.528632602,41268.1874961531,33937.9201905566,225397.817099667,84523.459935478,134326.756561324,55609.1406760036,162030.592664646,104290.0,88745.8425052169,135302.226349802,1005439.5,336468.0,33677.0,34951.5650313513,38073.0992223211,28471.934229822,230041.49877002,85782.6639896862,132939.859418167,57242.358179546,164496.365035802,88203.0131742107,130921.488907308,991123.845958235,1099417.34497535,8.3,13.8,9.4,135512.0
2015-09-30,92410.9795900937,153657.169359247,111951.676775307,925141.927413941,347056.678495174,557741.908948837,222235.931883559,651347.342706862,556970.141250423,361502.524920147,191234.0,66034.0,217440.0,5434.0,35289.0,2876.0,3683.0,858.0,1292559.0,257218.0,88788.0,51509.0,2017.0,12641.0,69.0,753.0,0.0,25498.0,10444.0,1934.0,38.0,-5.0,210128.0,697973.0,213057.0,704139.0,66818.0,212610.0,60185.0,358360.0,697973.0,66987.0,216231.0,60404.0,360517.0,704139.0,0.0,0.8,10954.0,11531.0,13480.0,26981.0,50467.0,30002.0,39238.0,44540.0,20214.0,2426.0,16277.0,1879.0,23232.058684338,38211.030252736,29539.4353395979,231604.696829312,87637.4784314634,142910.863080614,59270.2716718289,167819.214175995,107888.0,91073.9383540389,136235.593402103,1021731.4,355273.0,37108.0,22987.9070144212,37992.5340501663,28664.1245411034,231285.481853485,86684.1882928236,142960.392537002,57438.9286156156,163776.652256416,91115.7017054102,135105.053317221,998010.964183664,1107571.86445075,6.7,6.0,6.5,141972.0
2015-12-31,99540.9911845004,155138.017520878,111613.252015035,926195.316018689,348898.403363843,553480.527659357,230558.575888163,654193.367314758,557250.784082901,361604.061439288,201790.0,67545.0,196832.0,5155.0,35435.0,2334.0,3339.0,826.0,1321258.0,241367.0,83002.0,59372.0,2086.0,8587.0,14.0,924.0,9.0,24581.0,12993.0,2021.0,36.0,-14.0,213834.0,746643.0,220433.0,760583.0,74956.0,238597.0,74990.0,358101.0,746643.0,75978.0,242899.0,75819.0,365887.0,760583.0,0.4,0.4,11444.0,14222.0,12812.0,28788.0,46727.0,26006.0,44548.0,52481.0,20390.0,2971.0,24054.0,2408.0,13000.8600429672,37827.8853508749,23947.2619407234,234920.918863876,89952.1254812662,144228.021323016,59354.1922727034,167271.45862511,119609.0,96929.2123439541,154122.930981695,1046545.3,403951.0,36212.0,15887.0514568063,39513.2820799864,28635.6080834091,231548.829004672,87402.9581737252,144792.8845933,59464.6357217308,160106.241626728,91462.7906896476,158143.338163891,1016957.6195939,1129962.40011926,5.8,7.4,6.2,148265.0
2016-03-31,101328.872553919,157768.95251496,111288.921254496,933428.005054166,349796.221924242,559034.249606776,213780.618098388,656244.619570459,563834.328722126,361932.430308509,201245.0,68138.0,186948.0,5767.0,37511.0,2326.0,3225.0,765.0,1359409.0,260377.0,48334.0,58235.0,2081.0,9514.0,47.0,804.0,9.0,27507.0,12823.0,2163.0,36.0,-9.0,214231.0,684825.0,222169.0,711378.0,64544.0,208495.0,59732.0,352053.0,684825.0,67043.0,217241.0,61207.0,365887.0,711378.0,-1.0,-0.4,10885.0,18299.0,12283.0,31514.0,42295.0,38058.0,37996.0,46118.0,22768.0,1675.0,24628.0,3361.0,27632.6149267736,38430.0320179727,28937.576852009,246578.985464105,90995.1643807874,140364.02410259,52291.2889516515,166884.390441037,119112.0,86841.1615658247,138203.184955384,1050988.2,437804.0,40204.0,25052.112623296,39472.9980162842,26494.2897083083,233357.001263541,87332.9045434346,130801.504311389,49311.6121411791,164769.227379983,87842.4371679219,133466.879655996,977900.966811333,1083940.59878982,5.9,6.0,6.0,153389.0
2016-06-30,87351.9995026818,156314.761529572,109927.094649988,937012.061939711,350431.305263889,560375.281634262,225674.68562541,659206.502088477,566435.738535379,365030.343435886,201792.0,69702.0,188522.0,6124.0,38545.0,2653.0,3202.0,880.0,1376393.0,262576.0,68048.0,56143.0,1902.0,10034.0,80.0,1661.0,10.0,28323.0,14746.0,1997.0,32.0,-11.0,210733.0,693945.0,226501.0,735078.0,62808.0,210180.0,63853.0,357104.0,693945.0,66751.0,225284.0,66529.0,376514.0,735078.0,3.2,0.5,10283.0,12388.0,15101.0,31919.0,42308.0,29064.0,40652.0,40270.0,23791.0,4701.0,12578.0,4500.0,44292.5039269149,43506.5665834974,37647.5455783854,243496.996750043,93619.6727317716,147491.996801202,62300.1976255833,176685.186750102,113201.0,91819.2580078868,146014.607274248,1083543.4,409770.0,41267.0,31282.8659534877,38706.8613740159,27497.0535189771,234253.015484928,87625.139548893,138561.158638262,56927.8706129501,166636.194526064,90505.5477729291,133861.577387126,1005857.28481763,1113437.03911977,4.9,8.6,5.9,156162.0
2016-09-30,83093.9547100513,155953.808620796,110079.097165994,939734.377950927,351895.387996494,558355.508135208,223884.078466605,660878.473743497,564168.822392642,366768.170798246,222568.0,71091.0,188543.0,5780.0,39152.0,2314.0,3193.0,860.0,1378452.0,259303.0,68077.0,54435.0,1913.0,10959.0,81.0,1645.0,10.0,28939.0,15188.0,2088.0,42.0,-3.0,214241.0,703302.0,231400.0,754211.0,62787.0,216341.0,61135.0,363038.0,703302.0,66765.0,235657.0,64551.0,387238.0,754211.0,0.9,0.7,11942.0,12740.0,13904.0,31203.0,41916.0,34031.0,42435.0,40163.0,23921.0,1766.0,24620.0,2459.0,28108.0651857805,39691.54186725,32839.0486091806,249083.073694833,94265.676373081,153970.915662218,69092.3683882264,180160.924802794,115231.0,96107.9224658815,145952.039784889,1103356.6,407414.0,42736.0,21059.659623385,38621.983052393,28096.7449869582,234933.594487732,87892.2623612725,143569.357416767,57913.6175993023,166393.028616799,92967.3930286381,136755.225815671,1008202.86698892,1117489.1205737,5.7,4.9,5.6,157993.0
2016-12-31,102913.594476928,153944.994211308,108494.673441798,942443.495507472,352537.050139979,545753.897612917,217224.551089943,662242.28309846,562684.317729283,369334.73198599,205448.0,65216.0,190216.0,5542.0,42357.0,2311.0,3306.0,897.0,1373142.0,250363.0,72688.0,54000.0,2038.0,11539.0,80.0,1517.0,10.0,27418.0,14737.0,2065.0,38.0,-10.0,217018.0,752354.0,238883.0,811229.0,71744.0,237304.0,77106.0,366200.0,752354.0,75675.0,261629.0,82244.0,391681.0,811229.0,0.3,0.9,13420.0,12452.0,13862.0,33301.0,44408.0,25860.0,41116.0,42562.0,22459.0,3717.0,7680.0,3157.0,14871.3189555166,38795.322413168,26298.3359888544,253140.027426363,96817.8969591789,152338.92558127,67947.1478092005,179813.638678275,123170.0,101197.581011511,164315.817387794,1121172.2,407462.0,40691.0,16277.4671107264,39193.7867764658,27859.3584138256,235610.873876868,88314.6848775509,142947.713880874,55987.8829666551,161844.519102377,94451.0411626687,160197.118986065,1022684.44715408,1135304.23763122,4.6,8.4,5.6,155652.0
2017-03-31,107551.516666092,150269.334042106,109714.778083796,950570.304571446,354485.249542059,549665.921254705,224972.432499009,665796.514758401,556850.938881084,366149.329966942,218871.0,65430.0,185929.0,5688.0,43403.0,2274.0,3089.0,710.0,1406207.0,245409.0,70964.0,54114.0,2014.0,11567.0,81.0,1507.0,10.0,28969.0,14804.0,2031.0,40.0,-5.0,215149.0,689926.0,236875.0,755312.0,64299.0,204184.0,57960.0,363483.0,689926.0,68767.0,230002.0,62172.0,394372.0,755312.0,-0.3,1.1,11499.0,13232.0,13340.0,30470.0,38737.0,35296.0,38836.0,42713.0,22898.0,1640.0,28574.0,2252.0,27355.45904037,39006.9844303107,31844.195831771,260412.914218052,96158.6928013836,149036.197662089,59615.3789892777,183207.701331391,120363.0,92505.1422638443,148410.087351992,1111365.3,429020.0,44170.0,25873.0208625157,37581.5263519554,26073.8045191033,237642.576142862,88504.0036832275,129883.723879226,51483.9850135952,167204.455179182,88868.1897820276,131472.905583638,984588.190997333,1091113.46827999,5.3,10.5,6.5,159265.0
2017-06-30,122298.173606911,147388.015528567,110598.531438593,959540.749126557,354702.579649683,553675.127557668,220032.365057553,667790.223950037,555516.945004127,367153.060775893,214107.0,67537.0,178403.0,5314.0,45055.0,2553.0,3002.0,708.0,1406543.0,246607.0,74027.0,57434.0,1984.0,13239.0,142.0,1648.0,10.0,27772.0,15535.0,1944.0,29.0,-9.0,209923.0,704508.0,240241.0,778967.0,63123.0,209601.0,63764.0,368020.0,704508.0,67574.0,238952.0,68778.0,403663.0,778967.0,3.0,1.6,12053.0,13475.0,15028.0,31135.0,42478.0,28108.0,41217.0,44511.0,22634.0,4244.0,14022.0,4037.0,50384.4532357846,43087.9934612519,40461.4766864342,262496.15747679,100336.504923356,152304.339586665,60516.2166392444,192854.349389804,115139.0,97222.0315584126,152003.190355069,1153464.9,423147.0,45120.0,41607.8955727591,36485.16241914,27685.3303920183,239885.187281639,88698.7949117911,134802.914889126,55926.4734868225,168779.580067147,91458.8447596229,131125.662338237,1016455.8461183,1125688.32177312,5.1,9.8,6.2,164827.0
2017-12-31,104538.466261726,144649.494567161,110840.555406606,971565.631579628,358402.419258228,560227.789663331,227209.540586643,669202.593577447,560060.468564429,375635.076634473,234411.0,66743.0,197028.0,4930.0,47862.0,2806.0,3123.0,772.0,1515061.0,261465.0,57936.0,57416.0,1900.0,12682.0,158.0,2268.0,6.0,28731.0,15747.0,1844.0,34.0,-8.0,215791.0,771736.0,253765.0,866113.0,77330.0,239944.0,82406.0,372056.0,771736.0,82114.0,279163.0,89022.0,415814.0,866113.0,3.4,1.4,12263.0,13980.0,13885.0,31708.0,39945.0,28813.0,41527.0,47835.0,23682.0,6577.0,19206.0,4293.0,16485.6010181396,38640.4672360359,28303.6729205065,275838.871516912,104041.738562034,169647.662854115,73851.5529586046,194836.750732409,130781.0,105947.111209628,176491.110019889,1205655.3,419495.0,47786.0,15859.9677962953,36809.6660043222,28519.6385296943,242891.407894907,89775.020917753,146845.259690278,58552.8727028908,163336.058530162,95875.8308712018,159720.595086603,1038186.31802411,1152377.57557357,5.3,9.5,6.4,170233.0
2018-03-31,108413.04275999485,144450.6722607121,111434.86634440496,978086.3025177596,361881.444905614,561033.1575649882,223768.6911464572,671335.0729764933,561166.0521710891,377230.5899915744,244191.0,68064.0,206630.0,5220.0,47434.0,2138.0,2865.0,149.0,1476369.0,271210.0,54063.0,58563.0,1861.0,14220.0,165.0,2546.0,11.0,27341.0,15824.0,1712.0,45.0,26.0,216310.0,713986.0,249291.0,810311.0,70809.0,209762.0,61161.0,372254.0,713986.0,75430.0,246646.0,66342.0,421893.0,810311.0,-2.7,0.7,12719.0,14497.0,12640.0,31114.0,39442.0,38174.0,40044.0,43165.0,24114.0,2825.0,31084.0,1178.0,30320.51241761154,39307.9244414409,33640.35084299309,275073.6434819196,98742.36456255888,154246.64534235955,60215.81810171237,192831.87552019613,129964.0,95187.23062215412,155452.77195161232,1156510.9,404785.0,52006.0,26087.667586839136,36079.6019370988,26384.10343100577,244521.57562943987,90431.32104153124,130456.59544325786,50976.69871170344,168548.87462185282,91973.42821310047,132121.761526699,997581.6281425284,1105004.8645704691,4.8,3.9,4.7,174250.0
2018-06-30,109434.76246940644,144868.6053551801,110889.08039653828,985855.403208536,362433.8118490547,556434.3570275068,227359.5109127832,670788.9804187319,560096.9364157893,368004.5185329044,240482.0,70696.0,196713.0,4800.0,43035.0,2037.0,3012.0,148.0,1529614.0,263460.0,53136.0,59482.0,1831.0,14198.0,135.0,2245.0,10.0,29553.0,18675.0,1604.0,39.0,22.0,212696.0,726754.0,255945.0,833257.0,69144.0,212691.0,64834.0,380085.0,726754.0,73216.0,253759.0,70807.0,435476.0,833257.0,-0.5,0.1,12649.0,14176.0,14729.0,32732.0,40689.0,31912.0,42409.0,46640.0,23581.0,7882.0,16254.0,5430.0,43072.24361666744,44417.64921859981,42614.23400959614,281430.74714134925,103146.8333795774,159999.63664147392,68339.00738595234,202496.93180551025,125893.0,98083.2822963799,160350.97671053786,1210542.1,446859.0,51662.0,36737.77445400188,35929.6908893183,27777.790326087,246463.850802134,90637.81741960817,137397.38140017152,58057.17673434175,169573.90235869947,90930.01925136973,132176.16849530686,1025681.5721310386,1134991.661343284,5.0,1.3,4.1,179396.0
